Name,N2-rep1,N2-rep2,N2-rep3,Gld2-rep1,Gld2-rep2,Gld2-rep3,Cpb3-rep1,Cpb3-rep2,Cpb3-rep3,Gld2-pcb19-rep1,Gld2-pcb19-rep2,Gld2-PARN1-rep1,Gld2-PARN1-rep2,Gld2-CAF1-rep1,Gld2-CAF1-rep2,Gld2-PANL2-rep1,Gld2-PANL2-rep2,Gld2-CCF1-rep1,Gld2-CCF1-rep2,Gld2-CCR4-rep1,Gld2-CCR4-rep2,1-2-cell-egg-rep1,1-2-cell-egg-rep2
NR_069457/NR_069458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NM_073448,105,101,210,213,240,133,94,202,31,76,28,116,113,54,74,505,61,53,40,143,93,39,19
NM_073449/NR_069467/NM_073450,347,406,612,517,366,171,412,604,99,111,37,84,254,95,172,462,53,55,144,96,146,79,146
NR_069469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_073452,391,441,585,698,470,192,306,469,78,170,73,155,415,138,214,409,99,140,287,264,370,218,212
NR_069471,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NM_073457,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_001028596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001028595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001269383/NM_001269382,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001269384/NM_001269385,1,0,2,3,4,3,0,0,0,0,1,0,1,2,0,2,0,0,1,4,1,0,0
NM_001269387/NM_001269386,21,18,41,15,31,16,7,35,11,4,2,2,6,0,6,28,6,5,5,9,3,7,0
NR_069475,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
NM_073468,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_073469,1,0,0,1,0,0,0,0,0,1,1,2,7,1,4,0,0,0,0,0,1,0,0
NM_073470,1,1,2,3,1,1,0,9,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
NM_073471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_073472,11,27,24,11,30,11,6,16,2,12,4,5,26,9,16,2,1,9,9,5,12,0,5
NR_069480,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
NR_069481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_073474/NR_069483,11,1,9,0,2,0,3,2,1,0,0,0,0,1,0,3,0,0,0,1,1,0,0
NM_073475,17,23,22,32,37,16,27,41,2,16,3,14,36,16,9,29,10,5,14,19,25,0,0
NM_073477,0,0,0,2,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_073478,803,915,1416,1347,1389,913,808,1887,309,425,79,319,520,245,344,1135,311,174,311,660,590,314,372
NM_001028924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
NR_069484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069495,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
NR_069496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001028923/NM_001028922,1,0,0,0,3,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
NR_069500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_073482/NR_069502/NR_069503/NR_069504/NR_069505,0,0,3,0,12,0,1,2,0,3,0,2,2,0,1,0,0,0,0,0,0,0,0
NM_073483,0,5,2,3,3,0,0,5,0,0,2,0,5,2,0,0,0,0,1,0,1,0,0
NR_069507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_069512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_073487,152,166,246,213,289,108,330,431,81,132,15,140,130,78,191,1595,96,86,78,145,82,82,55
NM_001028856,0,0,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,1,0,5,0,0,0
