"","RNA1.1.t0.rep2","RNA1.1.t5.rep2","RNA1.1.t10.rep2","RNA1.1.t20.rep2"
"YCL019W/YCL020W",147,101,57,54
"YCL018W",2632,2206,956,444
"YCL014W",171,110,52,44
"YCL005W-A",2364,2159,905,404
"YCL005W",134,77,39,38
"YCL004W",29,30,6,4
"YCL001W",697,555,95,20
"YCR003W",181,51,8,6
"YCR008W",150,97,45,29
"YCR012W",24852,20130,6708,5449
"YCR016W",279,146,21,6
"YCR019W",309,156,30,29
"YCR032W",152,53,34,33
"YCR033W",177,94,44,45
"YCR034W",377,299,105,20
"YCR036W",188,87,23,11
"YCR040W/YCR041W",53,47,19,7
"YCR048W",260,200,64,61
"YCR051W",1058,743,246,57
"YCR052W",401,238,67,41
"YCR053W",1885,1766,756,484
"YCR060W",76,70,21,5
"YCR061W",20,40,27,19
"YCR069W",197,165,44,32
"YCR073W-A",94,66,19,3
"YCR075W-A",102,47,22,4
"YCR079W",35,29,16,20
"YCR082W",272,181,44,35
"YCR086W",187,69,17,14
"YCR088W",417,320,127,91
"YCR091W",7,3,1,4
"YCR093W",427,212,91,111
"YCR094W",194,114,38,18
"YCR097W",144,84,22,8
"YCR107W",57,12,12,18
"YDL246C",16,14,6,4
"YDL243C",31,19,9,14
"YDL235C",210,132,29,14
"YDL234C",122,56,20,27
"YDL231C",96,51,40,19
"YDL227C",346,38,11,10
"YDL226C",355,256,79,54
"YDL224C",157,77,38,54
"YDL222C",12,21,10,6
"YDL217C",254,77,38,14
"YDL215C",79,65,55,37
"YDL214C",12,31,16,20
"YDL213C",2000,1513,651,336
"YDL209C",112,46,7,15
"YDL205C",124,50,26,22
"YDL203C",68,24,10,11
"YDL200C",37,42,11,7
"YDL199C",32,36,32,19
"YDL198C",152,86,29,18
"YDL197C",237,253,154,129
"YDL190C",175,100,59,36
"YDL188C",177,121,44,58
"YDL187C",120,74,43,19
"YDL184C",8471,7324,3153,1920
"YDL183C",60,37,19,26
"YDL177C",59,54,15,18
"YDL175C",82,32,20,16
"YDL174C",373,298,96,69
"YDL171C",122,87,43,23
"YDL169C",12,5,2,3
"YDL167C",350,162,56,39
"YDL166C",267,113,23,17
"YDL164C",513,305,89,44
"YDL160C-A",109,68,45,17
"YDL158C",211,161,69,32
"YDL157C",275,209,86,57
"YDL153C",470,321,133,73
"YDL148C",316,147,42,23
"YDL145C",761,461,130,68
"YDL144C",172,104,28,18
"YDL142C",46,33,16,3
"YDL140C",343,196,94,67
"YDL139C",36,34,6,1
"YDL135C",264,206,130,95
"YDL134C",625,457,158,155
"YDL133C-A",9782,9313,3210,3310
"YDL126C",1430,1104,408,158
"YDL125C",1031,788,388,203
"YDL121C",183,130,25,12
"YDL119C",75,30,2,11
"YDL115C",70,53,22,18
"YDL113C",64,44,21,24
"YDL111C",576,199,29,25
"YDL110C",239,153,47,57
"YDL106C",41,23,9,6
"YDL104C",49,27,19,13
"YDL103C",75,60,19,18
"YDL101C",73,55,13,17
"YDL100C",852,844,358,234
"YDL098C",88,84,20,38
"YDL097C",506,349,82,33
"YDL091C",35,31,11,10
"YDL090C",85,56,25,12
"YDL088C",87,86,30,50
"YDL085C-A",107,100,43,52
"YDL083C",5355,4199,1782,759
"YDL081C",7924,6334,2563,1769
"YDL080C",77,55,26,20
"YDL078C",370,358,109,38
"YDL077C",100,55,17,28
"YDL076C",113,58,21,22
"YDL074C",189,105,23,24
"YDL072C",282,240,88,27
"YDL067C",240,147,47,18
"YDL065C",186,143,41,48
"YDL063C",376,240,84,41
"YDL061C",4242,3152,1131,543
"YDL055C",1497,865,355,195
"YDL054C",95,100,46,50
"YDL053C",383,300,135,73
"YDL052C",675,470,131,61
"YDL048C",219,300,184,146
"YDL045C",59,33,3,5
"YDL044C",45,32,15,10
"YDL042C",82,60,29,9
"YDL040C",1127,740,210,85
"YDL039C",376,175,62,59
"YDL036C",119,89,34,22
"YDL035C",105,75,27,17
"YDL033C",99,55,41,19
"YDL028C",59,57,35,75
"YDL027C",158,94,38,36
"YDL025C",89,67,32,40
"YDL020C",175,504,264,726
"YDL019C",166,104,35,36
"YDL018C",80,59,12,5
"YDL016C",925,860,342,206
"YDL012C",1039,669,175,79
"YDL005C",103,48,8,8
"YDL002C",117,17,11,9
"YDR001C",85,87,38,39
"YDR005C",73,43,13,14
"YDR006C",72,73,60,49
"YDR016C",170,115,43,30
"YDR017C",223,118,44,30
"YDR019C",168,67,16,5
"YDR022C",122,136,77,59
"YDR026C",334,171,99,87
"YDR027C",220,91,31,37
"YDR028C",188,106,60,60
"YDR032C",335,338,154,176
"YDR034C",139,66,48,47
"YDR034C-D/YDR034C-C",137,80,56,40
"YDR036C",218,122,35,14
"YDR038C",195,78,50,44
"YDR039C",170,74,33,36
"YDR040C",178,51,34,68
"YDR043C",30,39,36,34
"YDR045C",523,284,118,67
"YDR046C",813,225,117,82
"YDR050C",5361,4767,1988,1427
"YDR051C",292,163,42,27
"YDR052C",82,73,22,31
"YDR056C",248,193,50,26
"YDR059C",82,28,11,5
"YDR067C",152,23,16,6
"YDR069C",52,42,37,36
"YDR070C",18,37,23,48
"YDR071C",489,477,124,63
"YDR072C",400,94,45,67
"YDR078C",56,37,8,12
"YDR079C-A",100,59,32,14
"YDR081C",220,67,26,25
"YDR084C",76,89,15,6
"YDR085C",26,48,12,18
"YDR086C",4146,3484,1544,928
"YDR087C",389,299,112,32
"YDR088C",138,52,9,21
"YDR091C",233,119,27,23
"YDR097C",207,139,51,19
"YDR098C",609,526,228,51
"YDR098C-B/YDR098C-A",485,357,213,215
"YDR101C",192,100,21,15
"YDR104C",55,29,8,14
"YDR105C",217,158,38,18
"YDR109C",52,24,12,14
"YDR111C",79,31,12,3
"YDR113C",142,138,45,42
"YDR116C",119,68,23,30
"YDR117C",131,68,19,9
"YDR120C",726,412,106,88
"YDR129C",1114,1031,400,135
"YDR131C",30,34,10,8
"YDR132C",36,80,45,15
"YDR133C",1553,1225,314,271
"YDR135C",887,595,224,86
"YDR139C",369,267,113,39
"YDR141C",342,174,104,70
"YDR142C",106,39,13,7
"YDR143C",164,135,62,42
"YDR144C",778,348,116,60
"YDR146C",99,82,19,20
"YDR148C",255,240,86,43
"YDR151C",132,210,134,130
"YDR153C",158,147,54,99
"YDR154C/YDR155C",7665,7264,3839,2329
"YDR162C",65,28,9,1
"YDR164C",84,30,27,6
"YDR166C",65,21,11,2
"YDR169C",58,47,22,24
"YDR170C",901,592,334,344
"YDR173C",61,55,18,12
"YDR175C",336,84,26,20
"YDR179C",51,17,2,6
"YDR183C-A/YDR184C",172,78,24,25
"YDR186C",124,151,73,127
"YDR190C",645,423,114,58
"YDR194C",712,282,76,112
"YDR196C",112,63,20,20
"YDR198C",75,42,13,9
"YDR200C",84,53,27,29
"YDR202C",55,29,2,8
"YDR207C",72,34,7,19
"YDR210C-D/YDR210C-C",456,357,173,195
"YDR217C",394,180,73,76
"YDR219C",32,6,4,4
"YDR224C",3007,2436,638,788
"YDR228C",96,92,35,47
"YDR231C",139,65,28,11
"YDR233C",2293,2126,745,344
"YDR236C",105,98,26,16
"YDR238C",543,419,167,109
"YDR239C",286,232,71,37
"YDR240C",117,34,11,7
"YDR248C",104,116,39,25
"YDR249C",92,27,13,26
"YDR255C",24,289,209,228
"YDR256C",57,341,334,204
"YDR257C",38,205,130,124
"YDR258C",123,465,280,338
"YDR261C",140,164,64,43
"YDR261C-D/YDR261C-C",1082,766,432,377
"YDR263C",50,65,43,27
"YDR264C",344,188,107,96
"YDR266C",100,70,21,21
"YDR267C",127,41,8,8
"YDR276C",2244,1907,525,184
"YDR277C",120,104,20,11
"YDR278C",97,162,77,22
"YDR281C",13,9,8,6
"YDR282C",87,42,37,31
"YDR283C",217,101,24,38
"YDR284C",131,90,17,4
"YDR286C",36,18,10,4
"YDR289C",135,66,16,3
"YDR292C",249,169,56,49
"YDR293C",196,177,91,90
"YDR294C",488,398,159,73
"YDR295C",82,41,10,7
"YDR298C",495,283,73,46
"YDR300C",224,142,26,15
"YDR303C",160,111,29,44
"YDR304C",943,888,465,313
"YDR305C",145,109,34,31
"YDR306C",120,70,62,77
"YDR308C",110,45,4,8
"YDR309C",56,38,15,23
"YDR310C",194,124,69,48
"YDR313C",32,49,25,41
"YDR319C",109,26,10,13
"YDR320C",331,267,84,43
"YDR320C-A",368,143,28,13
"YDR322C-A",407,263,35,22
"YDR323C",33,14,16,5
"YDR324C",320,92,28,14
"YDR326C",64,61,30,48
"YDR328C",732,638,347,251
"YDR329C",114,80,27,25
"YDR333C",213,69,24,25
"YDR338C",72,53,14,22
"YDR339C",235,68,19,3
"YDR341C",2979,2056,756,372
"YDR342C",33,86,26,25
"YDR343C",39,28,14,13
"YDR345C",1357,952,225,90
"YDR346C",380,244,77,45
"YDR348C",300,134,58,20
"YDR349C",249,155,73,44
"YDR357C",227,173,78,92
"YDR359C",63,53,36,33
"YDR361C",566,372,104,59
"YDR362C",88,30,13,4
"YDR365C",737,450,157,134
"YDR370C",96,39,28,17
"YDR372C",273,217,72,35
"YDR375C",1219,725,212,328
"YDR378C",168,124,31,14
"YDR379C-A",19,23,20,10
"YDR381C-A",61,30,11,8
"YDR384C",748,525,133,52
"YDR390C",257,150,20,12
"YDR391C",70,54,23,12
"YDR397C",190,80,19,17
"YDR404C",380,195,39,19
"YDR407C",118,72,46,47
"YDR408C",148,100,26,17
"YDR410C",636,274,63,63
"YDR411C",622,559,221,45
"YDR414C",96,56,18,6
"YDR415C",63,50,6,2
"YDR422C",71,47,32,30
"YDR423C",66,33,13,9
"YDR424C",129,104,62,25
"YDR428C",133,78,37,18
"YDR429C",983,730,280,115
"YDR430C",169,59,23,17
"YDR435C",47,39,18,9
"YDR441C",247,132,56,48
"YDR445C",150,307,239,96
"YDR447C",4184,3926,1860,1318
"YDR449C",129,30,4,5
"YDR451C",144,45,10,3
"YDR453C",112,85,34,32
"YDR454C",1091,918,531,493
"YDR458C",53,29,19,7
"YDR459C",161,39,13,11
"YDR461C-A",78,66,21,11
"YDR465C",454,316,102,15
"YDR468C",152,69,16,15
"YDR470C",89,44,6,20
"YDR473C",65,26,14,17
"YDR475C",86,44,26,14
"YDR476C",483,298,67,34
"YDR479C",59,27,9,18
"YDR481C",96,73,33,28
"YDR482C",217,105,31,17
"YDR485C",131,65,47,43
"YDR486C",117,63,17,12
"YDR487C",555,476,178,57
"YDR490C",97,75,28,18
"YDR495C",159,97,66,40
"YDR496C",631,129,24,18
"YDR497C",322,167,53,39
"YDR498C",238,80,10,13
"YDR500C",1762,1632,521,585
"YDR502C",412,312,67,24
"YDR503C",42,29,12,9
"YDR504C",141,77,45,46
"YDR505C",19,16,8,5
"YDR507C",312,148,62,62
"YDR508C",960,435,98,54
"YDR512C",161,96,41,19
"YDR514C",75,14,13,5
"YDR516C",71,73,31,61
"YDR520C",225,113,49,49
"YDR523C",12,74,19,16
"YDR524C",118,79,56,55
"YDR524C-B",8434,8760,3551,2021
"YDR529C",812,801,472,375
"YDR530C",125,64,21,24
"YDR532C",39,16,5,6
"YDR533C",407,347,183,148
"YDR534C",88,58,18,4
"YDR540C",6,7,2,2
"YDR541C",113,42,16,13
"YDL241W",142,108,41,31
"YDL237W",370,279,144,49
"YDL236W",190,106,26,8
"YDL233W",88,37,13,16
"YDL232W",639,447,128,109
"YDL230W",54,46,4,9
"YDL229W",7680,5083,1657,614
"YDL225W",242,166,48,14
"YDL219W",481,399,204,105
"YDL212W",859,683,203,101
"YDL208W",2420,983,186,123
"YDL207W",250,114,48,48
"YDL206W",27,48,33,20
"YDL204W",22,30,38,12
"YDL202W",205,59,12,13
"YDL201W",316,132,17,6
"YDL195W",768,553,178,218
"YDL194W",35,35,30,17
"YDL193W",110,101,32,27
"YDL192W",4321,3455,1339,554
"YDL191W",5032,4579,1807,1070
"YDL189W",201,101,39,41
"YDL185W",1460,1216,493,320
"YDL182W",3361,2383,547,97
"YDL181W",93,70,23,9
"YDL180W",80,69,36,38
"YDL179W",125,27,10,6
"YDL178W",239,172,67,31
"YDL176W",162,28,9,3
"YDL173W",84,55,17,33
"YDL170W",138,63,24,24
"YDL168W",285,279,91,45
"YDL165W",186,136,24,11
"YDL161W",173,109,22,13
"YDL159W",97,52,26,30
"YDL155W",134,31,17,13
"YDL150W",360,210,66,38
"YDL149W",83,55,22,14
